dataset,method,runtime_seconds,n_true_classes,ari,nmi,silhouette,coverage,binary_ari
UNSW-NB15,K-Means,1.7347545623779297,8,-0.0019179951071666497,0.013044124098963503,0.0,1.0,
UNSW-NB15,DBSCAN,0.13924145698547363,8,0.4162254058366513,0.4629844282638955,1.0,0.7066,
UNSW-NB15,Spectral,5.048257112503052,8,0.23386218701677977,0.29713939652358634,0.0,1.0,
UNSW-NB15,HDBSCAN,0.13701319694519043,8,0.35637184194638155,0.4055466880952053,0.9138566417556389,0.837,
UNSW-NB15,K-Means-emb,0.17884302139282227,8,0.24461772149535707,0.37783207575699745,0.0,1.0,
UNSW-NB15,Spectral-emb,1.8458478450775146,8,0.06085895729700836,0.19419588638686464,0.0,1.0,
UNSW-NB15,MITRE-CORE,5.719658851623535,8,0.007805771407454953,0.09392977515659603,0.0,1.0,
NSL-KDD,K-Means,0.032119035720825195,10,0.020548463564067487,0.0852881080432452,0.0,1.0,
NSL-KDD,DBSCAN,0.21236610412597656,10,0.7486726140905076,0.5887302294552617,1.0,0.577,
NSL-KDD,Spectral,12.473062515258789,10,0.25319389109710355,0.3362472879804912,0.0,1.0,
NSL-KDD,HDBSCAN,0.17947053909301758,10,0.5050249721030563,0.5365561610618219,0.7660267140738138,0.8181,
NSL-KDD,K-Means-emb,0.1909642219543457,10,0.28295409884608197,0.5679203439904333,0.0,1.0,
NSL-KDD,Spectral-emb,4.072917699813843,10,-0.04511024215591163,0.1394555595796574,0.0,1.0,
NSL-KDD,MITRE-CORE,5.221123456954956,10,0.5950829311464874,0.680188054057191,0.0,1.0,
CICIDS2017,K-Means,0.05637383460998535,16,0.05868227241158216,0.2198891737406959,0.0,1.0,
CICIDS2017,DBSCAN,0.05460405349731445,16,0.9774276630913009,0.8637387648468515,1.0,0.1023,
CICIDS2017,Spectral,5.61694860458374,16,0.05503352904854518,0.2649338576513837,0.0,1.0,
CICIDS2017,HDBSCAN,0.1606004238128662,16,0.10286961495818571,0.2762558742873755,0.333845217313994,0.7921,
CICIDS2017,K-Means-emb,0.23674392700195312,16,0.11041278086109074,0.5129469607367427,0.0,1.0,
CICIDS2017,Spectral-emb,0.35732507705688477,16,0.03386153135180722,0.1849130080957856,0.0,1.0,
CICIDS2017,MITRE-CORE,5.851529598236084,16,0.17313066998754384,0.523664073273979,0.0,1.0,
TON_IoT,K-Means,0.045571327209472656,10,0.12455825401076363,0.2797373030100697,0.0,1.0,
TON_IoT,DBSCAN,0.05812406539916992,10,0.10063493491764851,0.4057820349537143,1.0,0.162,
TON_IoT,Spectral,44.92528533935547,10,0.01038109418162444,0.15293075542003956,0.0,1.0,
TON_IoT,HDBSCAN,0.1540074348449707,10,0.09355580976491965,0.3804719984622189,0.2518883108585211,0.8235,
TON_IoT,K-Means-emb,0.1571516990661621,10,0.695651258545345,0.8097597041738591,0.0,1.0,
TON_IoT,Spectral-emb,0.30839109420776367,10,0.016524304779188755,0.0548921699540512,0.0,1.0,
TON_IoT,MITRE-CORE,5.668141603469849,10,0.6095227663808458,0.7789543660221154,0.0,1.0,
SQTK_SIEM_kcluster,K-Means,0.025017261505126953,11,0.0,0.0,0.0,1.0,
SQTK_SIEM_kcluster,DBSCAN,0.26392674446105957,11,0.0,0.0,0.0,1.0,
SQTK_SIEM_kcluster,Spectral,0.2274188995361328,11,-0.002593080093500909,0.0056055806901595725,0.0,1.0,
SQTK_SIEM_kcluster,HDBSCAN,0.039397478103637695,11,0.0,0.0,0.0,0.0,
SQTK_SIEM_kcluster,K-Means-emb,0.10945868492126465,11,0.18564504147190333,0.3788738979316709,0.10262348502874374,1.0,
SQTK_SIEM_kcluster,Spectral-emb,0.853252649307251,11,0.05387099411160624,0.2314430059260427,-0.3053229749202728,1.0,
SQTK_SIEM_kcluster,MITRE-CORE,1.9143283367156982,11,0.4280823745688156,0.5949961889351136,-0.3168128430843353,1.0,
OpTC,K-Means,0.011263370513916016,2,0.07837207302446021,0.1111956056674111,0.0,1.0,0.0
OpTC,DBSCAN,0.08955526351928711,2,0.0024279418804692768,0.09975248131316053,1.0,0.2381,0.6407868978498777
OpTC,Spectral,98.49483680725098,2,0.01502103415205999,0.0010651950413102652,0.0,1.0,0.0
OpTC,HDBSCAN,0.21242618560791016,2,0.09326002972608374,0.05234506358889813,0.5516976466695792,0.9006,0.0
OpTC,K-Means-emb,0.05103111267089844,2,0.07843781624232374,0.11123522131015677,0.0,1.0,0.0
OpTC,Spectral-emb,0.24574613571166992,2,-0.05246887353148082,0.02533232593626717,0.0,1.0,0.0
OpTC,MITRE-CORE,50.243826389312744,2,0.057830119781170086,0.20181372620755955,0.0,1.0,1.0
