dataset,gate_value,ari,binary_ari,nmi,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows
UNSW-NB15,0.4,0.1699387189015098,,0.45310409921251954,41,41,0,0.0,0.853650689125061,1.0,,gaec,False,63.06531790003646,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
UNSW-NB15,0.5,0.18209596801053987,,0.4708851563519316,44,44,0,0.0,0.8673787117004395,1.0,,gaec,False,34.743332399986684,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
UNSW-NB15,0.55,0.1613266267634482,,0.4322628472307239,43,43,0,0.0,0.8410029411315918,1.0,,gaec,False,34.89124080003239,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
UNSW-NB15,0.6,0.1935011724669664,,0.46800494536173404,49,49,0,0.0,0.8675162196159363,1.0,,gaec,False,34.69210159999784,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
UNSW-NB15,0.65,0.14194312389651523,,0.4391607198667183,51,51,0,0.0,0.8526611328125,1.0,,gaec,False,34.552229600027204,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
UNSW-NB15,0.7,0.1253245788047611,,0.4184089294402448,52,52,0,0.0,0.8720677495002747,1.0,,gaec,False,37.05309259996284,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
UNSW-NB15,0.75,0.1776464585102632,,0.45478038940598,47,47,0,0.0,0.8560454249382019,1.0,,gaec,False,35.82978200004436,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
UNSW-NB15,0.8,0.17539381957424652,,0.46323097059819324,50,50,0,0.0,0.865731418132782,1.0,,gaec,False,35.76903610001318,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
UNSW-NB15,0.9,0.1364313202897086,,0.4178791784919436,48,48,0,0.0,0.8461230397224426,1.0,,gaec,False,34.269787000026554,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
TON_IoT,0.4,0.19065459917153488,,0.5506333124941044,116,116,0,0.0,0.8339318037033081,1.0,,gaec,False,63.21749519999139,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
TON_IoT,0.5,0.23162685844551031,,0.5633572583568495,123,123,0,0.0,0.8137645721435547,1.0,,gaec,False,58.971821399987675,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
TON_IoT,0.55,0.18630015062075603,,0.548393757656942,123,123,0,0.0,0.8134077787399292,1.0,,gaec,False,58.830698600038886,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
TON_IoT,0.6,0.1988078267848542,,0.5546506705425712,116,116,0,0.0,0.8319053053855896,1.0,,gaec,False,59.183106500073336,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
TON_IoT,0.65,0.24595716344605553,,0.5727863055135127,132,132,0,0.0,0.7871547937393188,0.9218972325325012,,gaec,False,55.061099399928935,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
TON_IoT,0.7,0.22209751098761804,,0.5536634891403944,125,125,0,0.0,0.8250401616096497,1.0,,gaec,False,58.15888760006055,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
TON_IoT,0.75,0.21203303651818492,,0.560140904808203,120,120,0,0.0,0.8302231431007385,1.0,,gaec,False,55.73880849999841,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
TON_IoT,0.8,0.158717127895323,,0.5191400844648864,112,112,0,0.0,0.8312456011772156,1.0,,gaec,False,50.58729960001074,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
TON_IoT,0.9,0.17775287803767068,,0.5380426340621697,129,129,0,0.0,0.8120990991592407,1.0,,gaec,False,50.3690920000663,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
NSL-KDD,0.4,0.08364338254844618,,0.33155705470762054,43,43,0,0.0,0.7851547598838806,0.7752122282981873,,softmax,False,9.046888399985619,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
NSL-KDD,0.5,0.08364338254844618,,0.33155705470762054,43,43,0,0.0,0.7851547598838806,0.7752122282981873,,softmax,False,9.180450399988331,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
NSL-KDD,0.55,0.08364338254844618,,0.33155705470762054,43,43,0,0.0,0.7851547598838806,0.7752122282981873,,softmax,False,9.05317049997393,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
NSL-KDD,0.6,0.08364338254844618,,0.33155705470762054,43,43,0,0.0,0.7851547598838806,0.7752122282981873,,softmax,False,9.069069399964064,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
NSL-KDD,0.65,0.08364338254844618,,0.33155705470762054,43,43,0,0.0,0.7851547598838806,0.7752122282981873,,softmax,False,8.986427100026049,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
NSL-KDD,0.7,0.08364338254844618,,0.33155705470762054,43,43,0,0.0,0.7851547598838806,0.7752122282981873,,softmax,False,9.046991599956527,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
NSL-KDD,0.75,0.08364338254844618,,0.33155705470762054,43,43,0,0.0,0.7851547598838806,0.7752122282981873,,softmax,False,9.158383900066838,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
NSL-KDD,0.8,0.08364338254844618,,0.33155705470762054,43,43,0,0.0,0.7851547598838806,0.7752122282981873,,softmax,False,9.162580200005323,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
NSL-KDD,0.9,0.08364338254844618,,0.33155705470762054,43,43,0,0.0,0.7851547598838806,0.7752122282981873,,softmax,False,9.070412099943496,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
CICIDS2017,0.4,0.09050086958420872,,0.31804279797572427,98,98,0,0.0,0.8556836843490601,1.0,,gaec,False,45.30290080001578,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
CICIDS2017,0.5,0.08781740002027737,,0.326972147744489,99,99,0,0.0,0.8621817827224731,1.0,,gaec,False,44.080844299984165,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
CICIDS2017,0.55,0.07305327217274733,,0.29677766704631736,101,101,0,0.0,0.8363245725631714,1.0,,gaec,False,43.78706579993013,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
CICIDS2017,0.6,0.0873912974902755,,0.3185418080407738,101,101,0,0.0,0.8477786779403687,1.0,,gaec,False,43.52177660004236,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
CICIDS2017,0.65,0.09639153629964414,,0.3290895485590443,95,95,0,0.0,0.851630449295044,1.0,,gaec,False,44.729425200028345,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
CICIDS2017,0.7,0.10097858785159904,,0.3064114281110615,90,90,0,0.0,0.8596125841140747,1.0,,gaec,False,44.99761279998347,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
CICIDS2017,0.75,0.07991305504421302,,0.32023322731612275,96,96,0,0.0,0.8717252612113953,1.0,,gaec,False,44.677773499977775,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
CICIDS2017,0.8,0.07801958835109388,,0.3198592183405277,98,98,0,0.0,0.862571120262146,1.0,,gaec,False,43.80096670007333,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
CICIDS2017,0.9,0.08474359730895344,,0.3229403059869122,96,96,0,0.0,0.8542299270629883,1.0,,gaec,False,44.62821839994285,fb5a35d5d2165cbe5d21c1c7b200308e28020dae,0,0.0,0
