dataset,gate_value,ari,binary_ari,nmi,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows
UNSW-NB15,0.4,0.20746911510239827,,0.4910903801647297,54,54,0,0.0,0.8227556347846985,1.0,,gaec,False,60.825821899983566,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
UNSW-NB15,0.5,0.20270192005254095,,0.49611788771340865,55,55,0,0.0,0.8444204926490784,1.0,,gaec,False,25.868057599989697,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
UNSW-NB15,0.55,0.2074172167177744,,0.5123494669139104,56,56,0,0.0,0.8454369902610779,1.0,,gaec,False,25.830248700047377,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
UNSW-NB15,0.6,0.19592937895425902,,0.4933989121341167,63,63,0,0.0,0.8573579788208008,1.0,,gaec,False,25.536212900013197,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
UNSW-NB15,0.65,0.19923306628906548,,0.5040646245407483,60,60,0,0.0,0.8462656140327454,1.0,,gaec,False,25.614971000002697,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
UNSW-NB15,0.7,0.20096095919838075,,0.4991767926944396,56,56,0,0.0,0.8363104462623596,1.0,,gaec,False,25.627681100042537,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
UNSW-NB15,0.75,0.19417218570799963,,0.4946576407084856,57,57,0,0.0,0.830143928527832,1.0,,gaec,False,25.593257099972107,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
UNSW-NB15,0.8,0.2165786871411433,,0.5151167965491856,57,57,0,0.0,0.835903525352478,1.0,,gaec,False,25.67443400004413,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
UNSW-NB15,0.9,0.22380270494386253,,0.5202101280666256,53,53,0,0.0,0.8385472893714905,1.0,,gaec,False,25.55669850000413,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
TON_IoT,0.4,0.29102776442024125,,0.6005023230595201,108,108,0,0.0,0.8528432250022888,1.0,,gaec,False,49.828223899996374,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
TON_IoT,0.5,0.22234754148382369,,0.5705075574481483,124,124,0,0.0,0.8212612867355347,1.0,,gaec,False,49.95337230002042,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
TON_IoT,0.55,0.1796541708767232,,0.5409946696514932,116,116,0,0.0,0.834352970123291,1.0,,gaec,False,49.92135669995332,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
TON_IoT,0.6,0.2895838304000395,,0.5725335029967137,117,117,0,0.0,0.8393704295158386,1.0,,gaec,False,50.006935100012925,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
TON_IoT,0.65,0.23436009403101646,,0.5476342899436057,113,113,0,0.0,0.832757294178009,1.0,,gaec,False,49.85348599997815,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
TON_IoT,0.7,0.208725070171433,,0.5615744315260082,102,102,0,0.0,0.8506482839584351,1.0,,gaec,False,49.8632717000437,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
TON_IoT,0.75,0.2328580894030417,,0.5615938979309693,116,116,0,0.0,0.8333761096000671,1.0,,gaec,False,49.96833970001899,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
TON_IoT,0.8,0.2853009006041475,,0.6008677434017908,110,110,0,0.0,0.8423140645027161,1.0,,gaec,False,49.873906399996486,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
TON_IoT,0.9,0.3596219587661431,,0.6194078023235894,121,121,0,0.0,0.8408125042915344,1.0,,gaec,False,49.93137690000003,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
CICIDS2017,0.4,0.19880228406213735,,0.4083905269510307,60,60,0,0.0,0.9198006391525269,1.0,,gaec,False,43.4727925999905,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
CICIDS2017,0.5,0.10788262754768571,,0.35461106939070364,71,71,0,0.0,0.9059842824935913,1.0,,gaec,False,43.28669610002544,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
CICIDS2017,0.55,0.17832942667248688,,0.3901598847302091,66,66,0,0.0,0.9162364602088928,1.0,,gaec,False,43.48458260000916,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
CICIDS2017,0.6,0.1398995004366689,,0.3699157472316177,68,68,0,0.0,0.9004928469657898,1.0,,gaec,False,43.322595299978275,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
CICIDS2017,0.65,0.21317758662844616,,0.413952881023608,62,62,0,0.0,0.9042873978614807,1.0,,gaec,False,43.473874699964654,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
CICIDS2017,0.7,0.0788065587458468,,0.3480540218173317,68,68,0,0.0,0.9054370522499084,1.0,,gaec,False,43.34394400002202,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
