checkpoint_path,dataset,gate,ari,nmi,binary_ari,silhouette,eval_time_seconds,n_clusters,noise_ratio
hgnn_checkpoints\week4_temporal_sweep\TON_IoT_window_0.5h\best.pt,TON_IoT,0.3,0.3863568233194866,0.5859776693777887,,1.0,234.321364402771,13,0.9740668963197073
hgnn_checkpoints\week4_temporal_sweep\TON_IoT_window_0.5h\best.pt,TON_IoT,0.4,0.38318792219654213,0.5784856529457403,,1.0,233.94730019569397,12,0.9741806172201873
hgnn_checkpoints\week4_temporal_sweep\TON_IoT_window_0.5h\best.pt,TON_IoT,0.5,0.38618976866360216,0.5822596534302691,,1.0,233.6712408065796,11,0.9742422160412807
hgnn_checkpoints\week4_temporal_sweep\TON_IoT_window_0.5h\best.pt,TON_IoT,0.6,0.38735642642213086,0.5801211661660126,,1.0,233.85252618789673,9,0.9743559369417607
hgnn_checkpoints\week4_temporal_sweep\TON_IoT_window_0.5h\best.pt,TON_IoT,0.7,0.3858859392656488,0.5806592486096521,,1.0,234.2673704624176,8,0.9744270125045607
hgnn_checkpoints\week4_temporal_sweep\TON_IoT_window_0.5h\best.pt,TON_IoT,0.8,0.38187353341944813,0.5830282839418577,,1.0,233.66474723815918,6,0.9746402391929607
hgnn_checkpoints\week4_temporal_sweep\TON_IoT_window_0.5h\best.pt,TON_IoT,0.9,0.3914144838676223,0.5958351110784493,,1.0,233.7062771320343,4,0.977047331586454
hgnn_checkpoints\week4_temporal_sweep\TON_IoT_window_2.0h\best.pt,TON_IoT,0.3,0.32346000653057133,0.6080579841267675,,1.0,240.61828589439392,15,0.9006600550598693
hgnn_checkpoints\week4_temporal_sweep\TON_IoT_window_2.0h\best.pt,TON_IoT,0.4,0.32346000653057133,0.6080579841267675,,1.0,241.320725440979,15,0.9006600550598693
hgnn_checkpoints\week4_temporal_sweep\TON_IoT_window_2.0h\best.pt,TON_IoT,0.5,0.32346000653057133,0.6080579841267675,,1.0,242.24816918373108,15,0.9006600550598693
hgnn_checkpoints\week4_temporal_sweep\TON_IoT_window_2.0h\best.pt,TON_IoT,0.6,0.32346000653057133,0.6080579841267675,,1.0,240.92129111289978,15,0.9006600550598693
hgnn_checkpoints\week4_temporal_sweep\TON_IoT_window_2.0h\best.pt,TON_IoT,0.7,0.32346000653057133,0.6080579841267675,,1.0,241.6022846698761,15,0.9006600550598693
hgnn_checkpoints\week4_temporal_sweep\TON_IoT_window_2.0h\best.pt,TON_IoT,0.8,0.3222342232462722,0.6090887174239888,,1.0,242.5495626926422,14,0.901294996754216
hgnn_checkpoints\week4_temporal_sweep\TON_IoT_window_2.0h\best.pt,TON_IoT,0.9,0.3208855149859341,0.6098859261962839,,1.0,242.51809072494507,13,0.9019441535611226
