dataset,gate_value,ari,nmi,n_clusters,n_hgnn_clusters,n_uf_clusters,n_hgnn_noise_points,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,use_uf_refinement,noise_point_strategy,skip_gate_sweep,latency_s,git_hash
UNSW-NB15_no_uf,0.4,0.40417142379343274,0.5140496289213494,6,6,0,1321,0.0,0.7894246578216553,0.8255156874656677,,False,zero,False,17.19280640000943,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_no_uf,0.5,0.40417142379343274,0.5140496289213494,6,6,0,1321,0.0,0.7894246578216553,0.8255156874656677,,False,zero,False,16.211454899981618,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_no_uf,0.55,0.40417142379343274,0.5140496289213494,6,6,0,1321,0.0,0.7894246578216553,0.8255156874656677,,False,zero,False,17.279584900010377,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_no_uf,0.6,0.40417142379343274,0.5140496289213494,6,6,0,1321,0.0,0.7894246578216553,0.8255156874656677,,False,zero,False,17.481356299947947,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_no_uf,0.65,0.40417142379343274,0.5140496289213494,6,6,0,1321,0.0,0.7894246578216553,0.8255156874656677,,False,zero,False,17.28844450006727,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_no_uf,0.7,0.40417142379343274,0.5140496289213494,6,6,0,1321,0.0,0.7894246578216553,0.8255156874656677,,False,zero,False,16.348118499969132,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_no_uf,0.75,0.40417142379343274,0.5140496289213494,6,6,0,1321,0.0,0.7894246578216553,0.8255156874656677,,False,zero,False,15.798566399957053,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_no_uf,0.8,0.40417142379343274,0.5140496289213494,6,6,0,1321,0.0,0.7894246578216553,0.8255156874656677,,False,zero,False,15.7069305999903,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_no_uf,0.9,0.40417142379343274,0.5140496289213494,6,6,0,1321,0.0,0.7894246578216553,0.8255156874656677,,False,zero,False,15.630551300011575,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft,0.4,0.36751105175582305,0.45635705459800885,549,6,543,0,0.0543,0.8421852588653564,0.8255156874656677,0.6421852588653564,True,soft_assign,False,16.00067889993079,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft,0.5,0.3479730926008287,0.42390706795106586,1951,5,1946,0,0.1946,0.8421852588653564,0.8255156874656677,0.6421852588653564,True,soft_assign,False,16.838508200016804,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft,0.55,0.3442432129321929,0.41838481669937067,2079,5,2074,0,0.2074,0.8421852588653564,0.8255156874656677,0.6421852588653565,True,soft_assign,False,17.186616500024684,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft,0.6,0.3428643680166543,0.41542891432386325,2129,5,2124,0,0.2124,0.8421852588653564,0.8255156874656677,0.6421852588653564,True,soft_assign,False,16.775881199981086,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft,0.65,0.34497286359940366,0.41549350525795925,2187,5,2182,0,0.2182,0.8421852588653564,0.8255156874656677,0.6421852588653563,True,soft_assign,False,16.551438600057736,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft,0.7,0.3399146365708518,0.4120496077756713,2276,5,2271,0,0.2271,0.8421852588653564,0.8255156874656677,0.6421852588653564,True,soft_assign,False,16.59799799998291,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft,0.75,0.33940279302485044,0.41123718067129683,2334,5,2329,0,0.2329,0.8421852588653564,0.8255156874656677,0.6421852588653564,True,soft_assign,False,16.66599940008018,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft,0.8,0.3389104931197462,0.4083048752436582,2437,5,2432,0,0.2432,0.8421852588653564,0.8255156874656677,0.6421852588653564,True,soft_assign,False,17.420968300080858,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft,0.9,0.3335294626264444,0.402613053136878,2663,5,2658,0,0.2658,0.8421852588653564,0.8255156874656677,0.6421852588653563,True,soft_assign,False,17.247171900002286,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_baseline,0.4,0.35405328563885535,0.4290653172066053,1855,5,1850,1321,0.185,0.7894246578216553,0.8255156874656677,0.5894246578216553,True,zero,False,17.36028719996102,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_baseline,0.5,0.3479730926008287,0.42390706795106586,1951,5,1946,1321,0.1946,0.7894246578216553,0.8255156874656677,0.5894246578216552,True,zero,False,17.376335999928415,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_baseline,0.55,0.3442432129321929,0.41838481669937067,2079,5,2074,1321,0.2074,0.7894246578216553,0.8255156874656677,0.5894246578216553,True,zero,False,16.516725299996324,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_baseline,0.6,0.3428643680166543,0.41542891432386325,2129,5,2124,1321,0.2124,0.7894246578216553,0.8255156874656677,0.5894246578216552,True,zero,False,16.182721699937247,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_baseline,0.65,0.34497286359940366,0.41549350525795925,2187,5,2182,1321,0.2182,0.7894246578216553,0.8255156874656677,0.5894246578216551,True,zero,False,15.924521300010383,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_baseline,0.7,0.3399146365708518,0.4120496077756713,2276,5,2271,1321,0.2271,0.7894246578216553,0.8255156874656677,0.5894246578216552,True,zero,False,15.825270699919201,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_baseline,0.75,0.33940279302485044,0.41123718067129683,2334,5,2329,1321,0.2329,0.7894246578216553,0.8255156874656677,0.5894246578216552,True,zero,False,16.07654089992866,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_baseline,0.8,0.3389104931197462,0.4083048752436582,2437,5,2432,1321,0.2432,0.7894246578216553,0.8255156874656677,0.5894246578216552,True,zero,False,16.016663699992932,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_baseline,0.9,0.3335294626264444,0.402613053136878,2663,5,2658,1321,0.2658,0.7894246578216553,0.8255156874656677,0.5894246578216551,True,zero,False,15.780060999910347,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_no_uf,0.4,0.2574222831135961,0.3066633782305696,4,4,0,1790,0.0,0.7827173471450806,0.8422449827194214,,False,zero,False,21.174369099899195,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_no_uf,0.5,0.2574222831135961,0.3066633782305696,4,4,0,1790,0.0,0.7827173471450806,0.8422449827194214,,False,zero,False,21.315719299949706,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_no_uf,0.55,0.2574222831135961,0.3066633782305696,4,4,0,1790,0.0,0.7827173471450806,0.8422449827194214,,False,zero,False,21.354145899997093,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_no_uf,0.6,0.2574222831135961,0.3066633782305696,4,4,0,1790,0.0,0.7827173471450806,0.8422449827194214,,False,zero,False,21.6004518000409,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_no_uf,0.65,0.2574222831135961,0.3066633782305696,4,4,0,1790,0.0,0.7827173471450806,0.8422449827194214,,False,zero,False,21.348098199930973,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_no_uf,0.7,0.2574222831135961,0.3066633782305696,4,4,0,1790,0.0,0.7827173471450806,0.8422449827194214,,False,zero,False,21.012620100053027,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_no_uf,0.75,0.2574222831135961,0.3066633782305696,4,4,0,1790,0.0,0.7827173471450806,0.8422449827194214,,False,zero,False,20.790713100112043,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_no_uf,0.8,0.2574222831135961,0.3066633782305696,4,4,0,1790,0.0,0.7827173471450806,0.8422449827194214,,False,zero,False,21.730851599946618,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_no_uf,0.9,0.2574222831135961,0.3066633782305696,4,4,0,1790,0.0,0.7827173471450806,0.8422449827194214,,False,zero,False,20.970644099987112,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.4,0.21471082029560662,0.2966747563291918,707,4,703,1790,0.193,0.7827173471450806,0.8422449827194214,0.5827173471450806,True,zero,False,22.358313099946827,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.5,0.20851116747619197,0.29534816921544066,777,4,773,1790,0.2109,0.7827173471450806,0.8422449827194214,0.5827173471450805,True,zero,False,22.457798399962485,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.55,0.2047187433955338,0.2932810915659977,807,4,803,1790,0.2196,0.7827173471450806,0.8422449827194214,0.5827173471450804,True,zero,False,22.063947299961,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.6,0.20516757646762593,0.29759841911078805,811,4,807,1790,0.2277,0.7827173471450806,0.8422449827194214,0.5827173471450805,True,zero,False,22.39302710001357,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.65,0.2036998676779108,0.2968916005466357,818,4,814,1790,0.2292,0.7827173471450806,0.8422449827194214,0.5827173471450805,True,zero,False,22.15572699997574,5e568a20a301ade3d9c3911e1b091cb5799313ea
NSL-KDD_baseline,0.7,0.20381588132624956,0.2963787470042241,835,4,831,1790,0.2352,0.7827173471450806,0.8422449827194214,0.5827173471450805,True,zero,False,21.788270100019872,5e568a20a301ade3d9c3911e1b091cb5799313ea
