dataset,method,runtime_seconds,n_true_classes,ari,nmi,ami,homogeneity,completeness,v_measure,silhouette,coverage,binary_ari
UNSW-NB15,K-Means,1.9163475036621094,8,-0.003727642383891553,0.012427852731116532,0.010095845546138274,0.006540853753764495,0.12432235737967291,0.012427852731116532,0.0,1.0,
UNSW-NB15,DBSCAN,0.14499282836914062,8,0.4972989460890841,0.5194537335281606,0.5048405360292038,0.7692683954933456,0.39211655733026146,0.5194537335281606,1.0,0.7066,
UNSW-NB15,Spectral,8.50472092628479,8,0.2795710173672024,0.36233427018700287,0.36119263140963126,0.3390852801113685,0.38900601791645706,0.3623342701870028,0.0,1.0,
UNSW-NB15,HDBSCAN,0.1969285011291504,8,0.41885858691112615,0.45655739142655427,0.44704176590353173,0.6883808240114189,0.3415386867272449,0.45655739142655427,0.9138566417556389,0.837,
UNSW-NB15,K-Means-emb,0.25768542289733887,8,0.6078311371713028,0.6380233650596425,0.637460580174292,0.6736849454539547,0.6059474745076797,0.6380233650596425,0.0,1.0,
UNSW-NB15,Spectral-emb,6.027377367019653,8,0.13366372431003234,0.3970542503452115,0.3958335803020598,0.33218670168935954,0.4934032609230374,0.3970542503452115,0.0,1.0,
UNSW-NB15,HDBSCAN-emb,1.4260635375976562,8,0.4309904312069985,0.7201699399110212,0.718541862281474,0.987181422173628,0.5668493123931584,0.7201699399110211,-0.133627787232399,0.8249,
UNSW-NB15,MITRE-CORE,9.98163914680481,8,0.5016967804506702,0.5715199088936656,0.5708450836216604,0.520067613666121,0.6342707621495877,0.5715199088936656,0.0,1.0,
NSL-KDD,K-Means,0.05727696418762207,10,0.020548463564067487,0.0852881080432452,0.08302254902999744,0.04652312533256513,0.51144578454645,0.08528810804324521,0.0,1.0,
NSL-KDD,DBSCAN,0.2518033981323242,10,0.7529144109805038,0.607356258089711,0.600504176296612,1.0000000000000004,0.43611746479871477,0.6073562580897109,1.0,0.577,
NSL-KDD,Spectral,13.588164329528809,10,0.2605141600067989,0.38790977600158694,0.38662661753190325,0.5321879608603324,0.30517552725218483,0.387909776001587,0.0,1.0,
NSL-KDD,HDBSCAN,0.2928793430328369,10,0.5052919802017806,0.5493770358729377,0.5466464680328362,0.9843606049580602,0.3810105549251354,0.5493770358729378,0.7678806774138089,0.8186,
NSL-KDD,K-Means-emb,0.2960681915283203,10,0.3183543816630974,0.5962495298236178,0.5954533204712745,0.9433043914439204,0.43588233164008444,0.5962495298236177,0.0,1.0,
NSL-KDD,Spectral-emb,4.821525812149048,10,0.3737623676973128,0.5435518164038879,0.5425972472283601,0.7653880959715091,0.4214118898675199,0.5435518164038878,0.0,1.0,
NSL-KDD,HDBSCAN-emb,1.4212169647216797,10,0.4008401717600864,0.5806904769435947,0.5795628853210895,0.9985226094209705,0.4093837180411978,0.5806904769435947,-0.01980152167379856,0.9398,
NSL-KDD,MITRE-CORE,8.103211879730225,10,0.5978912144589102,0.6750207023594037,0.674101453133666,0.9267495528313758,0.5308329217658743,0.6750207023594037,0.0,1.0,
CICIDS2017,K-Means,0.0890035629272461,16,0.05868227241158216,0.2198891737406959,0.2161978649213596,0.36952086653723115,0.15651206290322697,0.2198891737406959,0.0,1.0,
CICIDS2017,DBSCAN,0.0747373104095459,16,0.9774276630913009,0.8637387648468515,0.8630397145289512,1.0,0.7601586132879332,0.8637387648468515,1.0,0.1023,
CICIDS2017,Spectral,10.201894283294678,16,0.05503352904854518,0.2649338576513837,0.2612712220503143,0.4428396026843853,0.1890037592571619,0.2649338576513837,0.0,1.0,
CICIDS2017,HDBSCAN,0.22908663749694824,16,0.10286961495818571,0.2762558742873755,0.2679522386566214,0.5901800498851375,0.18033397154061787,0.2762558742873755,0.333845217313994,0.7921,
CICIDS2017,K-Means-emb,0.3344564437866211,16,0.13296828421563012,0.5245482822301354,0.5222595451128011,0.9386226746312099,0.36397869385511544,0.5245482822301354,0.0,1.0,
CICIDS2017,Spectral-emb,1.2541487216949463,16,-0.13788613670048414,0.13941493230949545,0.13494854016764515,0.15174245318685076,0.12893988653428357,0.13941493230949542,0.0,1.0,
CICIDS2017,HDBSCAN-emb,0.4024229049682617,16,0.015336417854288565,0.31672545147267017,0.29857820088303616,1.0000000000000004,0.1881603044196018,0.31672545147267017,0.13622169196605682,0.959,
CICIDS2017,MITRE-CORE,8.545121908187866,16,0.10848202581908611,0.4845025661151904,0.4806340476750234,0.9492598450547751,0.3252569032120017,0.4845025661151903,0.0,1.0,
TON_IoT,K-Means,0.05817437171936035,10,0.12455825401076363,0.2797373030100697,0.2783108221473032,0.26951371825842746,0.2907671018953575,0.27973730301006966,0.0,1.0,
TON_IoT,DBSCAN,0.05985236167907715,10,0.10063493491764851,0.4057820349537143,0.3791708291429201,0.9999999999999998,0.25453359819711546,0.4057820349537143,1.0,0.162,
TON_IoT,Spectral,64.56966757774353,10,0.01038109418162444,0.15293075542003956,0.15078634109852898,0.11806825514635733,0.2170074351021615,0.15293075542003956,0.0,1.0,
TON_IoT,HDBSCAN,0.22319841384887695,10,0.09355580976491965,0.3804719984622189,0.36725767244462143,0.5371549451557615,0.2945535518715432,0.38047199846221885,0.2518883108585211,0.8235,
TON_IoT,K-Means-emb,0.2492845058441162,10,0.7201906546504315,0.8514383033506996,0.8511631594485581,0.8730240456942645,0.830894231417526,0.8514383033506995,0.0,1.0,
TON_IoT,Spectral-emb,0.9965610504150391,10,0.004639278747673259,0.05418628425287378,0.05156325912398983,0.03839451515770537,0.09204439612472384,0.05418628425287378,0.0,1.0,
TON_IoT,HDBSCAN-emb,0.4147820472717285,10,0.0585295948266926,0.5596275578231452,0.5436708458526999,0.996787740817992,0.3890168393136374,0.5596275578231452,0.16957569122314453,0.9611,
TON_IoT,MITRE-CORE,8.594772100448608,10,0.362805897719872,0.7040254457531449,0.7017472642308131,0.9319890271146417,0.5656644809941154,0.7040254457531447,0.0,1.0,
SQTK_SIEM_kcluster,K-Means,0.037427425384521484,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,
SQTK_SIEM_kcluster,DBSCAN,0.3376636505126953,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,
SQTK_SIEM_kcluster,Spectral,0.3458130359649658,11,-0.002593080093500909,0.0056055806901595725,0.0006337717483078885,0.005772019023587044,0.005448471957727346,0.005605580690159572,0.0,1.0,
SQTK_SIEM_kcluster,HDBSCAN,0.058492183685302734,11,0.0,0.0,,,,,0.0,0.0,
SQTK_SIEM_kcluster,K-Means-emb,0.1800093650817871,11,0.25357529908615806,0.4081439430014124,0.40524803155443057,0.4454061370734781,0.37663506240557565,0.4081439430014124,-0.017613815143704414,1.0,
SQTK_SIEM_kcluster,Spectral-emb,2.996711254119873,11,0.13060265789885991,0.2983409387804024,0.2945279839886438,0.2863396139771326,0.311392294167936,0.2983409387804024,-0.4255513846874237,1.0,
SQTK_SIEM_kcluster,HDBSCAN-emb,0.4586365222930908,11,0.19203442341665408,0.47702999373611127,0.46084929319650303,0.7589150832702091,0.3478335869633804,0.4770299937361112,-0.22066769003868103,0.8052941176470588,
SQTK_SIEM_kcluster,MITRE-CORE,3.2098135948181152,11,0.3638524403261379,0.5233726710547166,0.5170868270492737,0.6641254404196494,0.43184807520239593,0.5233726710547166,-0.3618333041667938,1.0,
OpTC,K-Means,0.01738905906677246,2,0.07837207302446021,0.1111956056674111,0.11108680336809344,0.2638890992645752,0.07043815254059557,0.11119560566741113,0.0,1.0,0.0
OpTC,DBSCAN,0.1373143196105957,2,0.0024279418804692768,0.09975248131316053,0.08028102470627461,0.7658143326250483,0.05335089776721585,0.09975248131316053,1.0,0.2381,0.6407868978498777
OpTC,Spectral,113.49515342712402,2,0.01502103415205999,0.0010651950413102652,0.0006586760350690279,0.0007835235023326626,0.0016630508802937996,0.0010651950413102652,0.0,1.0,0.0
OpTC,HDBSCAN,0.27129030227661133,2,0.09326002972608374,0.05234506358889813,0.05102800547979042,0.3272875164233564,0.02844741499687634,0.05234506358889813,0.5516976466695792,0.9006,0.0
OpTC,K-Means-emb,0.053742170333862305,2,0.07843781624232374,0.11123522131015677,0.11112641543901991,0.2639627498623563,0.07046469864930519,0.11123522131015674,0.0,1.0,0.0
