dataset,method,runtime_seconds,n_true_classes,ari,nmi,silhouette,coverage,binary_ari
UNSW-NB15,K-Means,1.820786476135254,8,-0.0019179951071666497,0.013044124098963503,0.0,1.0,
UNSW-NB15,DBSCAN,0.1370697021484375,8,0.4162254058366513,0.4629844282638955,1.0,0.7066,
UNSW-NB15,Spectral,5.075835466384888,8,0.23386218701677977,0.29713939652358634,0.0,1.0,
UNSW-NB15,HDBSCAN,0.1518557071685791,8,0.35637184194638155,0.4055466880952053,0.9138566417556389,0.837,
UNSW-NB15,K-Means-emb,0.19566130638122559,8,0.24195960036672315,0.37611636431692147,0.0,1.0,
UNSW-NB15,Spectral-emb,2.1458356380462646,8,0.15031659887567697,0.31102540287343206,0.0,1.0,
UNSW-NB15,MITRE-CORE,4.762401580810547,8,0.39599672709496236,0.5108446151575982,0.0,1.0,
NSL-KDD,K-Means,0.03570890426635742,10,0.020548463564067487,0.0852881080432452,0.0,1.0,
NSL-KDD,DBSCAN,0.21747374534606934,10,0.7486726140905076,0.5887302294552617,1.0,0.577,
NSL-KDD,Spectral,12.191970825195312,10,0.25319389109710355,0.3362472879804912,0.0,1.0,
NSL-KDD,HDBSCAN,0.18723607063293457,10,0.5050249721030563,0.5365561610618219,0.7660267140738138,0.8181,
NSL-KDD,K-Means-emb,0.20692086219787598,10,0.28295409884608197,0.5679203439904333,0.0,1.0,
NSL-KDD,Spectral-emb,6.390954494476318,10,-0.07018559803241363,0.11115463400273709,0.0,1.0,
NSL-KDD,MITRE-CORE,5.940097332000732,10,0.6214088960103105,0.7303525596929914,0.0,1.0,
BETH,K-Means,0.009106636047363281,2,0.10613226279347573,0.04771308316541213,0.0,1.0,0.0
BETH,DBSCAN,0.03581714630126953,2,-0.00025084341036186455,0.001821111622112837,0.7381668344106461,0.9086,0.0
BETH,Spectral,3.8829104900360107,2,0.00042103583428007547,8.079687607618186e-05,0.0,1.0,0.0
BETH,HDBSCAN,0.16829228401184082,2,-0.00020481643900885292,0.0018805983493094187,0.8554040177751904,0.9296,0.0
BETH,K-Means-emb,0.04275989532470703,2,-0.0007761105204977392,2.462938455232306e-05,0.0,1.0,0.0
BETH,Spectral-emb,0.16306495666503906,2,-0.003807809144093172,0.001069322475489204,0.0,1.0,0.0
BETH,MITRE-CORE,22.881624698638916,2,-0.003807809144093172,0.001069322475489204,0.0,1.0,0.0
OpTC,K-Means,0.015293121337890625,2,0.07837207302446021,0.1111956056674111,0.0,1.0,0.0
OpTC,DBSCAN,0.11827850341796875,2,0.0024279418804692768,0.09975248131316053,1.0,0.2381,0.6407868978498777
OpTC,Spectral,114.02337884902954,2,0.01502103415205999,0.0010651950413102652,0.0,1.0,0.0
OpTC,HDBSCAN,0.27112889289855957,2,0.09326002972608374,0.05234506358889813,0.5516976466695792,0.9006,0.0
OpTC,K-Means-emb,0.049306392669677734,2,0.07843781624232374,0.11123522131015677,0.0,1.0,0.0
OpTC,Spectral-emb,0.25423741340637207,2,-0.05246887353148082,0.02533232593626717,0.0,1.0,0.0
OpTC,MITRE-CORE,69.09056162834167,2,0.06259593998167391,0.21912966728496125,0.0,1.0,1.0
