dataset,method,ari_mean,ari_std,ami_mean,ami_std,binary_ari_mean,binary_ari_std,nmi_mean,nmi_std
CICIDS2017,DBSCAN,0.9796883860692042,0.0038974598918511054,0.8624643244326896,0.019421987015732934,,,0.8632618331337003,0.01924069439885481
CICIDS2017,HDBSCAN,0.09378819520847088,0.010318800199793582,0.2549738968186424,0.011299711234940196,,,0.26465350734980736,0.01024364943191398
CICIDS2017,HDBSCAN-emb,0.015397452944258127,0.00020216577078408204,0.2982533409643245,0.0012433627841827142,,,0.31659000362766593,0.0012611461392161892
CICIDS2017,K-Means,0.06344664796561382,0.004611396687799187,0.21952160999093873,0.0030876434706287323,,,0.22327626929348351,0.003129370661533935
CICIDS2017,K-Means-emb,0.1314507905283552,0.001645195690974593,0.5210888286783565,0.0017795510052989868,,,0.5234263164160741,0.0017361071011551602
CICIDS2017,MITRE-CORE,0.1091507260822831,0.0012942873718850359,0.48372129494175115,0.002676624372131783,,,0.4875676659497576,0.0026644893625458756
CICIDS2017,Spectral,0.032026311555576885,0.05234906477722406,0.2331153505489468,0.05211091833564045,,,0.23697719520133223,0.05180524397722603
CICIDS2017,Spectral-emb,0.04735228024695148,0.026397667929330054,0.2437305350951906,0.05908642286865305,,,0.24760656449924057,0.05850886155622915
NSL-KDD,DBSCAN,0.7489046317068988,0.0036237351420259026,0.595424111331837,0.006838351998983002,,,0.602325508411333,0.0064193060582866165
NSL-KDD,HDBSCAN,0.5119217969988901,0.013636199168342444,0.5440192092034812,0.005762835159357532,,,0.5467872062349449,0.0058267264831846225
NSL-KDD,HDBSCAN-emb,0.40440706794007264,0.0036626011083501146,0.5802189426592314,0.0018619622092068244,,,0.5813438174913887,0.0018028001890008922
NSL-KDD,K-Means,0.016225512834563485,0.006151816849630412,0.08566708698019238,0.009327020724037186,,,0.08790656533389785,0.009342453373681668
NSL-KDD,K-Means-emb,0.3203593347404272,0.0029064663712804655,0.5954217212825228,0.0007285117794479181,,,0.596163611995411,0.0007500330513931239
NSL-KDD,MITRE-CORE,0.703095954670253,0.18658017283126838,0.7292026862954043,0.09966097343268633,,,0.7299892418961867,0.0992803227332997
NSL-KDD,Spectral,0.3264136801996174,0.057097855287029646,0.43713966714644004,0.044422079653739774,,,0.4382355399829337,0.04425599782496948
NSL-KDD,Spectral-emb,0.31143443867737663,0.06747953153320213,0.5059981360018889,0.03182131448017534,,,0.5069642378947271,0.03181052469459334
OpTC,DBSCAN,0.002130223850897436,0.00044656785880040555,0.07457365554694466,0.007514772881680606,0.6145023527575835,0.04065134978400389,0.09374999599764394,0.007594368376238041
OpTC,HDBSCAN,0.08535998780288412,0.007229196288003501,0.05060429315248297,0.002819433408381906,0.0,0.0,0.051768971904193516,0.0027406026086644673
OpTC,HDBSCAN-emb,0.02077807759586459,0.000830646332756627,0.11239079748086989,0.0033871200367949984,1.0,0.0,0.11396180543679417,0.0033704146745174887
OpTC,K-Means,0.07515986662072315,0.003064463286695494,0.10902591301123525,0.0035117058838621956,0.0,0.0,0.10913465000713364,0.0035104446851293063
OpTC,K-Means-emb,0.07522284347931325,0.003041335213347318,0.10906395587928308,0.003480367209745568,0.0,0.0,0.10917269660986967,0.0034791073668954528
OpTC,MITRE-CORE,0.05361500278538966,0.0020753421295463302,0.18926626278520778,0.005330274212823927,1.0,0.0,0.18958244668377522,0.005325522562642144
OpTC,Spectral,0.047906520669403874,0.07003285996772331,0.0120424508573593,0.02066269266045229,0.0,0.0,0.012384131538053525,0.02053365823031829
OpTC,Spectral-emb,-0.05259110209615043,0.001582619579465657,0.024519588258322646,0.0019681720015025817,0.0,0.0,0.024677320643578495,0.001961714803818882
SQTK_SIEM_kcluster,DBSCAN,0.0,0.0,0.0,0.0,,,0.0,0.0
SQTK_SIEM_kcluster,HDBSCAN,0.0,0.0,,,,,0.0,0.0
SQTK_SIEM_kcluster,HDBSCAN-emb,0.19203442341665408,0.0,0.460849293196503,0.0,,,0.47702999373611127,0.0
SQTK_SIEM_kcluster,K-Means,0.0,0.0,0.0,0.0,,,0.0,0.0
SQTK_SIEM_kcluster,K-Means-emb,0.2383742309542091,0.06812921864111043,0.38931949094262724,0.04552123101867779,,,0.3923610476291213,0.045273697430101616
SQTK_SIEM_kcluster,MITRE-CORE,0.3638524403261379,0.0,0.5170868270492737,0.0,,,0.5233726710547166,0.0
SQTK_SIEM_kcluster,Spectral,-0.0018600219807330543,0.0006353828529834361,-0.00017552467090160582,0.0008743416338118908,,,0.004870398940137598,0.000730296630396881
SQTK_SIEM_kcluster,Spectral-emb,0.12007989009466356,0.026523140313421168,0.28552611803223693,0.008165191795756194,,,0.28932457910513304,0.008182496481070192
TON_IoT,DBSCAN,0.10830480881748422,0.011835538427664218,0.3830088595563789,0.0037447789596936985,,,0.4106768864092068,0.005027851672424365
TON_IoT,HDBSCAN,0.11420874244713579,0.017928488372467598,0.37543862949314305,0.007104376682094073,,,0.3877574617817207,0.006344245348142041
TON_IoT,HDBSCAN-emb,0.056880324620323074,0.0014631107499430698,0.5425782274672789,0.0012973928643657193,,,0.5588038480404434,0.001032894298235207
TON_IoT,K-Means,0.12032433523348834,0.011818966723977427,0.277048875295492,0.004425595318958519,,,0.27847734257294926,0.004421820251009329
TON_IoT,K-Means-emb,0.6790036470480821,0.03604448214026605,0.8227374497838363,0.024724023816241426,,,0.8230693114064275,0.0246746998943366
TON_IoT,MITRE-CORE,0.35823648261166624,0.004978903182267312,0.6966850397536484,0.00731355336081144,,,0.6991795349180118,0.007124281621839099
TON_IoT,Spectral,0.034686214026403615,0.028761716743457438,0.16579253641983163,0.03395799942279311,,,0.16769599596971776,0.033753964756294226
TON_IoT,Spectral-emb,0.008573243830681306,0.004108424174643381,0.07127438353084639,0.020664007862845182,,,0.07374342687032143,0.020496084605394718
UNSW-NB15,DBSCAN,0.49579526874164276,0.006579770039404326,0.5013601536594288,0.0030146206287237475,,,0.5161565474927912,0.0028953747422071578
UNSW-NB15,HDBSCAN,0.41394578077795235,0.004283909279645702,0.44038720640430645,0.005927736382373573,,,0.4500721711328432,0.005718152405398531
UNSW-NB15,HDBSCAN-emb,0.43376467144194314,0.009909060337150475,0.7200508857568574,0.003047379757640381,,,0.7215946846931388,0.0029617686498806003
UNSW-NB15,K-Means,-0.003442831105458649,0.0004444495623703425,0.010745548248941068,0.003115894249749946,,,0.013072910466614109,0.003115656132676884
UNSW-NB15,K-Means-emb,0.5708989896737761,0.056599876658183064,0.6167838565588378,0.028549048094730183,,,0.6173770125562519,0.028506102708188732
UNSW-NB15,MITRE-CORE,0.4755465815736469,0.07974218596377146,0.5950274261622398,0.022130351543900036,,,0.5957163474725539,0.022142899493921814
UNSW-NB15,Spectral,0.3287004232069523,0.04336095560436691,0.3995973450877173,0.03826813273301104,,,0.4006944341863945,0.03822261342424198
UNSW-NB15,Spectral-emb,0.1516766244517458,0.021717888176181307,0.4098783283475673,0.043129464131831115,,,0.41102621233767533,0.04300604407049009
