dataset,gate_value,ari,nmi,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,latency_s,git_hash
UNSW-NB15,0.4,1.0,1.0,1,0,1,1.0,0.1137147843837738,0.1126926839351654,0.10634634196758273,4.387385200010613,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.5,1.0,1.0,1,0,1,1.0,0.11520283669233322,0.11299983412027359,0.10649991706013683,4.393502300023101,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.55,1.0,1.0,1,0,1,1.0,0.11887386441230774,0.11582130193710327,0.10791065096855167,4.440223200013861,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.6,1.0,1.0,1,0,1,1.0,0.14079956710338593,0.13994666934013367,0.11997333467006686,4.343850299948826,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.65,1.0,1.0,1,0,1,1.0,0.11835920065641403,0.11823689937591553,0.1091184496879578,5.060411700047553,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.7,1.0,1.0,1,0,1,1.0,0.12895718216896057,0.1248435378074646,0.11242176890373233,6.047228300012648,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.75,1.0,1.0,1,0,1,1.0,0.1222156211733818,0.12168081104755402,0.11084040552377704,5.873551899916492,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.8,1.0,1.0,1,0,1,1.0,0.11843133717775345,0.11519213020801544,0.10759606510400775,5.71195979998447,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.9,1.0,1.0,1,0,1,1.0,0.12178343534469604,0.12144327908754349,0.11072163954377177,6.038102800026536,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.4,0.0,0.0,50,0,50,1.0,0.12292314320802689,0.12275653332471848,0.11137826666235927,2.7063921000808477,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.5,0.0,0.0,52,0,52,1.0,0.11697180569171906,0.11684650927782059,0.10842325463891032,2.7235695999115705,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.55,0.0,0.0,52,0,52,1.0,0.12047764658927917,0.12018752098083496,0.11009376049041751,2.732447599992156,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.6,0.0,0.0,50,0,50,1.0,0.11832249164581299,0.11821075528860092,0.10910537764430049,2.724976900033653,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.65,0.0,0.0,52,0,52,1.0,0.10933122783899307,0.10919778794050217,0.10459889397025111,2.695653999922797,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.7,0.0,0.0,52,0,52,1.0,0.11384475976228714,0.11327549815177917,0.10663774907588962,2.5653395999688655,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.75,0.0,0.0,52,0,52,1.0,0.11714431643486023,0.11681124567985535,0.1084056228399277,2.540316900005564,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.8,0.0,0.0,52,0,52,1.0,0.1132894977927208,0.11308293789625168,0.10654146894812587,2.5817963000154123,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.9,0.0,0.0,52,0,52,1.0,0.11686402559280396,0.11667840927839279,0.10833920463919643,2.492615499999374,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Linux_APT,0.4,1.0,1.0,1,0,1,1.0,0.18833690881729126,0.19640155136585236,0.14820077568292622,0.04507970006670803,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Linux_APT,0.5,1.0,1.0,1,0,1,1.0,0.20589709281921387,0.21201775968074799,0.15600887984037404,0.05129750003106892,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Linux_APT,0.55,1.0,1.0,1,0,1,1.0,0.24339479207992554,0.24618352949619293,0.1730917647480965,0.05064859997946769,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Linux_APT,0.6,1.0,1.0,1,0,1,1.0,0.15758167207241058,0.15358342230319977,0.1267917111515999,0.05285310000181198,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Linux_APT,0.65,1.0,1.0,1,0,1,1.0,0.3140069544315338,0.3200027644634247,0.21000138223171239,0.049855099990963936,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
