dataset,gate_value,ari,binary_ari,nmi,ami,alt_label_col,alt_ari,alt_ami,homogeneity,completeness,v_measure,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows
UNSW-NB15,0.4,0.37446079457266296,,0.6188599511787889,0.615799280688205,attack_cat,0.37485207369930945,0.6161011701212308,0.6648755763404595,0.5788014619460626,0.6188599511787889,8,0,0,0.0,1.0,1.0,,gaec,False,55.26524110001628,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.5,0.37446079457266296,,0.6188599511787889,0.615799280688205,attack_cat,0.37485207369930945,0.6161011701212308,0.6648755763404595,0.5788014619460626,0.6188599511787889,8,0,0,0.0,1.0,1.0,,gaec,False,10.768664300005184,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.55,0.37446079457266296,,0.6188599511787889,0.615799280688205,attack_cat,0.37485207369930945,0.6161011701212308,0.6648755763404595,0.5788014619460626,0.6188599511787889,8,0,0,0.0,1.0,1.0,,gaec,False,10.669757199997548,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.6,0.37446079457266296,,0.6188599511787889,0.615799280688205,attack_cat,0.37485207369930945,0.6161011701212308,0.6648755763404595,0.5788014619460626,0.6188599511787889,8,0,0,0.0,1.0,1.0,,gaec,False,9.859748499991838,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.65,0.37446079457266296,,0.6188599511787889,0.615799280688205,attack_cat,0.37485207369930945,0.6161011701212308,0.6648755763404595,0.5788014619460626,0.6188599511787889,8,0,0,0.0,1.0,1.0,,gaec,False,9.599674700002652,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.7,0.37446079457266296,,0.6188599511787889,0.615799280688205,attack_cat,0.37485207369930945,0.6161011701212308,0.6648755763404595,0.5788014619460626,0.6188599511787889,8,0,0,0.0,1.0,1.0,,gaec,False,9.31381630001124,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.75,0.37446079457266296,,0.6188599511787889,0.615799280688205,attack_cat,0.37485207369930945,0.6161011701212308,0.6648755763404595,0.5788014619460626,0.6188599511787889,8,0,0,0.0,1.0,1.0,,gaec,False,9.63164730000426,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.8,0.37446079457266296,,0.6188599511787889,0.615799280688205,attack_cat,0.37485207369930945,0.6161011701212308,0.6648755763404595,0.5788014619460626,0.6188599511787889,8,0,0,0.0,1.0,1.0,,gaec,False,9.651261499995599,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.9,0.37446079457266296,,0.6188599511787889,0.615799280688205,attack_cat,0.37485207369930945,0.6161011701212308,0.6648755763404595,0.5788014619460626,0.6188599511787889,8,0,0,0.0,1.0,1.0,,gaec,False,9.495967499999097,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.4,-0.0033283141124631163,,0.25436389143876864,0.24409747694916545,,,,0.20105506139332288,0.3461418091203378,0.25436389143876864,50,50,0,0.0,0.9741044044494629,1.0,,gaec,False,67.0267967999971,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
