method,dataset_size,num_ground_truth_clusters,ari,nmi,homogeneity,completeness,v_measure,fowlkes_mallows,purity,inference_time_seconds,predicted_num_clusters,avg_cluster_size,min_cluster_size,max_cluster_size,memory_usage_mb,confidence_mean,confidence_std
Union-Find,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05566978454589844,1,9.0,9,9,,,
HGNN,10,1,1.0,1.0,1.0,1.0,1.0,1.0,,0.03433036804199219,1,9.0,9,9,,0.11829235404729843,0.0016646214062348008
Hybrid,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08958148956298828,1,9.0,9,9,,,
Union-Find,3,1,1.0,1.0,1.0,1.0,1.0,1.0,,0.005894184112548828,1,3.0,3,3,,,
HGNN,3,1,1.0,1.0,1.0,1.0,1.0,1.0,,0.02053976058959961,1,3.0,3,3,,0.1117432713508606,9.312913607573137e-05
Hybrid,3,1,1.0,1.0,1.0,1.0,1.0,1.0,,0.03641700744628906,1,3.0,3,3,,,
Union-Find,6,1,1.0,1.0,1.0,1.0,1.0,1.0,,0.03235983848571777,1,6.0,6,6,,,
HGNN,6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02070021629333496,1,6.0,6,6,,0.11493923515081406,0.0017479866510257125
Hybrid,6,1,1.0,1.0,1.0,1.0,1.0,1.0,,0.046840667724609375,1,6.0,6,6,,,
Union-Find,3,1,1.0,1.0,1.0,1.0,1.0,1.0,,0.008245706558227539,1,3.0,3,3,,,
HGNN,3,1,0.0,0.0,1.0,0.0,0.0,0.5773502691896257,,0.020380496978759766,2,1.5,1,2,,0.11005882173776627,0.000998652190901339
Hybrid,3,1,1.0,1.0,1.0,1.0,1.0,1.0,,0.032788753509521484,1,3.0,3,3,,,
Union-Find,3,1,1.0,1.0,1.0,1.0,1.0,1.0,,0.008066177368164062,1,3.0,3,3,,,
HGNN,3,1,1.0,1.0,1.0,1.0,1.0,1.0,,0.04700732231140137,1,3.0,3,3,,0.11746662855148315,0.0009280362282879651
Hybrid,3,1,1.0,1.0,1.0,1.0,1.0,1.0,,0.03334307670593262,1,3.0,3,3,,,
