dataset,gate_value,ari,binary_ari,nmi,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows
UNSW-NB15,0.4,0.010656118969289878,,0.02888560571091285,2,2,0,0.0,0.9895462393760681,1.0,,gaec,False,20.72230209998088,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
UNSW-NB15,0.5,0.008330950294322933,,0.10809267723679557,2,2,0,0.0,0.9886071085929871,1.0,,gaec,False,4.66426789999241,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
UNSW-NB15,0.55,0.008894096755729329,,0.10716874830777869,2,2,0,0.0,0.9900081753730774,1.0,,gaec,False,4.657293600030243,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
UNSW-NB15,0.6,0.0495828602684231,,0.11722836872164506,2,2,0,0.0,0.9850687384605408,1.0,,gaec,False,4.665605199988931,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
UNSW-NB15,0.65,0.04897141756715921,,0.11601702496776736,2,2,0,0.0,0.9938092231750488,1.0,,gaec,False,4.645589100022335,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
UNSW-NB15,0.7,0.00827739417169548,,0.10479177004135504,2,2,0,0.0,0.9934952855110168,1.0,,gaec,False,4.679718400002457,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
UNSW-NB15,0.75,0.0077143256139987175,,0.10571061377625984,2,2,0,0.0,0.9934466481208801,1.0,,gaec,False,4.64966309996089,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
UNSW-NB15,0.8,0.008220606361531966,,0.10747495395265816,2,2,0,0.0,0.9940112233161926,1.0,,gaec,False,4.673136199999135,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
UNSW-NB15,0.9,0.16872422686176988,,0.15690824248334181,2,2,0,0.0,0.9951428771018982,1.0,,gaec,False,4.695040400023572,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
TON_IoT,0.4,0.6917948323889389,,0.8154012214879318,12,12,0,0.0,0.9931761622428894,1.0,,gaec,False,46.762498800002504,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
TON_IoT,0.5,0.5612022534816759,,0.7954779754178859,9,9,0,0.0,0.9953332543373108,1.0,,gaec,False,32.21711089997552,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
TON_IoT,0.55,0.7236009610248764,,0.8351193347456399,13,13,0,0.0,0.9926213622093201,1.0,,gaec,False,32.15877259999979,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
TON_IoT,0.6,0.6680040031737062,,0.8132220769228263,11,11,0,0.0,0.997937798500061,1.0,,gaec,False,32.34472349996213,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
TON_IoT,0.65,0.4625192245526838,,0.7613513170120162,7,7,0,0.0,0.9948236346244812,1.0,,gaec,False,32.03306619997602,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
TON_IoT,0.7,0.6688282326466184,,0.8005181492686475,11,11,0,0.0,0.9987865686416626,1.0,,gaec,False,32.25780689995736,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
TON_IoT,0.75,0.7163252009214407,,0.8328543061113411,13,13,0,0.0,0.993890106678009,1.0,,gaec,False,32.27419960004045,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
TON_IoT,0.8,0.5400795957182899,,0.7568049979535454,12,12,0,0.0,0.9962786436080933,1.0,,gaec,False,32.55056040000636,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
TON_IoT,0.9,0.6017048645537201,,0.7895139452401218,10,10,0,0.0,0.995780885219574,1.0,,gaec,False,32.540134500013664,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
NSL-KDD,0.4,0.7078225069623374,,0.6700427458876538,7,7,0,0.0,0.9891199469566345,1.0,,gaec,False,11.373073800001293,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
NSL-KDD,0.5,0.7119184278585667,,0.6785404362645987,7,7,0,0.0,0.9804425239562988,1.0,,gaec,False,11.35973919997923,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
NSL-KDD,0.55,0.4959785196660187,,0.4534312147967489,5,5,0,0.0,0.9925089478492737,1.0,,gaec,False,11.309810600010678,c175cb7b21564c18a1697aa6a629d9085a3d6152,0,0.0,0
