dataset,gate_value,ari,binary_ari,nmi,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows
UNSW-NB15,0.4,-0.0002488079392282554,,0.0012475445915761409,2,2,0,0.0,0.9728180170059204,1.0,,gaec,False,23.38287890003994,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
UNSW-NB15,0.5,0.026867439961208817,,0.059051318268969734,2,2,0,0.0,0.9550173878669739,1.0,,gaec,False,4.881714799965266,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
UNSW-NB15,0.55,-0.00028945140987401475,,0.001208765727991058,2,2,0,0.0,0.9669085144996643,1.0,,gaec,False,4.875964400009252,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
UNSW-NB15,0.6,0.0290541787967171,,0.06156318737781571,2,2,0,0.0,0.9783373475074768,1.0,,gaec,False,4.906818499963265,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
UNSW-NB15,0.65,-0.00036606464466826407,,0.0010741357070354154,2,2,0,0.0,0.9881452322006226,1.0,,gaec,False,4.857641500013415,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
UNSW-NB15,0.7,0.02560642245352851,,0.059476710371049325,2,2,0,0.0,0.9381013512611389,1.0,,gaec,False,5.532717299996875,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
UNSW-NB15,0.75,0.026670531882825185,,0.05930888443162404,2,2,0,0.0,0.9845921397209167,1.0,,gaec,False,5.493747500004247,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
UNSW-NB15,0.8,0.027758807600204587,,0.0585142955315578,2,2,0,0.0,0.9871394038200378,1.0,,gaec,False,5.317133200005628,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
UNSW-NB15,0.9,0.026903760906152027,,0.05820626348927346,2,2,0,0.0,0.9799243807792664,1.0,,gaec,False,5.325831400055904,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
TON_IoT,0.4,0.35658630304336064,,0.6444882680313089,6,6,0,0.0,0.9967690706253052,1.0,,gaec,False,55.300933599995915,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
