dataset,gate_value,ari,binary_ari,nmi,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows
UNSW-NB15,0.4,-8.023109016411883e-05,,0.01720181341540308,3,3,0,0.0,0.5978663563728333,0.599114403128624,,softmax,False,2.0737900999956764,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
UNSW-NB15,0.5,-0.0005262147330554414,,0.021999869241071696,4,4,0,0.0,0.5922489166259766,0.5938899219036102,,softmax,False,1.9854637999669649,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
UNSW-NB15,0.55,-0.0005306961367128763,,0.01983256578676489,3,3,0,0.0,0.5953393578529358,0.5984904617071152,,softmax,False,2.0118752000271343,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
UNSW-NB15,0.6,-0.000717702607312932,,0.022653770809976718,4,4,0,0.0,0.589864194393158,0.5910031348466873,,softmax,False,1.9876351999701,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
UNSW-NB15,0.65,-0.0008513290897406785,,0.02197177466583282,4,4,0,0.0,0.590752124786377,0.5927488654851913,,softmax,False,1.9870851000305265,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
UNSW-NB15,0.7,-0.0005993884210472072,,0.020000843230283068,4,4,0,0.0,0.5974297523498535,0.5983034819364548,,softmax,False,2.0098902999889106,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
UNSW-NB15,0.75,-0.0005262147330554414,,0.021999869241071696,4,4,0,0.0,0.5896477103233337,0.5912882089614868,,softmax,False,2.066413900000043,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
UNSW-NB15,0.8,0.0003901355100446021,,0.016691520525531262,4,4,0,0.0,0.5980526804924011,0.5996676236391068,,softmax,False,2.030732400016859,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
UNSW-NB15,0.9,-0.00033741291611646203,,0.019174046014769037,3,3,0,0.0,0.5971754789352417,0.6003383845090866,,softmax,False,2.010970000002999,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
TON_IoT,0.4,0.35658630304336064,,0.6444882680313089,6,6,0,0.0,0.9967690706253052,1.0,,gaec,False,78.6874197999714,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
TON_IoT,0.5,0.6838389316601897,,0.8122778501208586,11,11,0,0.0,0.9952400922775269,1.0,,gaec,False,40.47628379997332,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
TON_IoT,0.55,0.6183929020558189,,0.789268134289409,10,10,0,0.0,0.9971818327903748,1.0,,gaec,False,42.5836161999614,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
TON_IoT,0.6,0.7157646396082015,,0.8304123967335363,12,12,0,0.0,0.9974470734596252,1.0,,gaec,False,49.03320240002358,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
TON_IoT,0.65,0.5164159850759616,,0.715070511961526,9,9,0,0.0,0.9957043528556824,1.0,,gaec,False,48.271641800005455,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
TON_IoT,0.7,0.6660210265877812,,0.8045992219067608,12,12,0,0.0,0.9965459704399109,1.0,,gaec,False,46.964780000038445,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
TON_IoT,0.75,0.46001312051658777,,0.6809232234662116,8,8,0,0.0,0.9962155818939209,1.0,,gaec,False,48.14096879999852,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
TON_IoT,0.8,0.6542928771480331,,0.7900478280980557,10,10,0,0.0,0.9944602251052856,1.0,,gaec,False,47.49825540004531,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
TON_IoT,0.9,0.7365447747854996,,0.8278219703903881,9,9,0,0.0,0.993349552154541,1.0,,gaec,False,46.26855700003216,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,0,0.0,0
OpTC,0.4,0.8968429668905112,0.8968429668905112,0.8122489820457879,2,2,0,0.0,0.5184213519096375,0.3860505223274231,,softmax,False,23.0462419000105,e5ad5213210ba1fcd611ffa671d1c73b6287b5da,6532,0.6532653265326532,6532
